0 degree,30 degree,45 degree,60 degree,90 degree,120 degree,135 degree,150 degree,180 degree,velocity,angular_velocity
2.0799999237,2.4058504105,2.9458687305,4.1826434135,5,3.792299509,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9520740509,4.1729693413,5,3.7758514881,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9520740509,4.1729693413,5,3.7758514881,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.7931678295,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.7931678295,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.7931678295,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.7931678295,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.7931678295,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.7931678295,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9530670643,4.1770200729,5,3.7836410999,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9530670643,4.1770200729,5,3.7836410999,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9513294697,4.1842155457,5,3.790446043,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9513294697,4.1842155457,5,3.790446043,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.7931678295,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.7931678295,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.755307436,2.7050285339,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.755307436,2.7050285339,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.7931678295,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.7931678295,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9523224831,4.1729693413,5,3.7758514881,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9523224831,4.1729693413,5,3.7758514881,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.7931678295,2.7081620693,2.2215979099,1.9400000572,5,0
