0 degree,30 degree,45 degree,60 degree,90 degree,120 degree,135 degree,150 degree,180 degree,velocity,angular_velocity
2.6639406681,5,5,5,3.0263230801,1.9847500324,2.0975415707,2.0152494907,2.5837967396,5,-565.4866776462
2.7184345722,4.809422493,5,5,3.2141234875,1.7360320091,1.9197736979,1.6907165051,1.971431613,5,-565.4866776462
2.7184345722,4.809422493,5,5,3.2141234875,1.7360320091,1.9197736979,1.6907165051,1.971431613,5,-565.4866776462
2.7530295849,4.1397957802,5,5,3.8109917641,1.5854429007,1.8454588652,1.4789750576,1.5826802254,5,-565.4866776462
2.7530295849,4.1397957802,5,5,3.8109917641,1.5854429007,1.8454588652,1.4789750576,1.5826802254,5,-565.4866776462
2.7735395432,3.7052621841,5,5,5,1.5410801172,1.9001961946,1.3717601299,1.3522030115,5,-565.4866776462
2.7735395432,3.7052621841,5,5,5,1.5410801172,1.9001961946,1.3717601299,1.3522030115,5,-565.4866776462
2.7829098701,3.3552532196,5,4.2370319366,5,1.6296374798,2.1646478176,1.3742753267,1.2469066381,5,-565.4866776462
2.7829098701,3.3552532196,5,4.2370319366,5,1.6296374798,2.1646478176,1.3742753267,1.2469066381,5,-565.4866776462
2.78236866,3.0625123978,4.8650274277,3.6317088604,5,1.8908833265,2.8503036499,1.5085073709,1.2529870272,5,0
2.78236866,3.0625123978,4.8650274277,3.6317088604,5,1.8908833265,2.8503036499,1.5085073709,1.2529870272,5,0
2.7386243343,3.0143635273,4.7884101868,3.574611187,5,1.9576370716,2.9509005547,1.5611723661,1.2967313528,5,0
2.7386243343,3.0143635273,4.7884101868,3.574611187,5,1.9576370716,2.9509005547,1.5611723661,1.2967313528,5,0
2.6948800087,2.9662148952,4.7117929459,3.517513752,5,2.0243909359,3.0107498169,1.6138374805,1.3404756784,5,0
2.6948800087,2.9662148952,4.7117929459,3.517513752,5,2.0243909359,3.0107498169,1.6138374805,1.3404756784,5,0
2.6511356831,2.9180660248,4.6269512177,3.4604160786,5,2.1006085873,3.1681916714,1.6665025949,1.3842200041,5,0
2.6511356831,2.9180660248,4.6269512177,3.4604160786,5,2.1006085873,3.1681916714,1.6665025949,1.3842200041,5,0
2.6073913574,2.8699173927,4.5447311401,3.4033184052,5,2.1615309715,3.2641501427,1.7024668455,1.4279643297,5,0
2.6073913574,2.8699173927,4.5447311401,3.4033184052,5,2.1615309715,3.2641501427,1.7024668455,1.4279643297,5,0
2.5636470318,2.8217685223,4.4819417,3.3462207317,5,2.2341163158,3.3532876968,1.7718327045,1.4717086554,5,0
